ax,ay,az,gx,gy,gz,clase_id,nombre_clase,origen
6.244269,2.82285,6.9745226,0.20597337,-0.029991651,0.12036428,3,izquierda,single/left_single.csv
6.1820173,2.8084843,6.969734,0.20963857,-0.002502715,0.1234186,3,izquierda,single/left_single.csv
6.2346916,2.8396099,6.7494607,0.21330376,0.015823241,0.13319245,3,izquierda,single/left_single.csv
6.474119,2.82285,6.7638264,-6.701192,-4.0,0.153351,3,izquierda,single/left_single.csv
6.4693303,2.8420043,6.830866,0.20047559,-0.01960694,0.15640531,3,izquierda,single/left_single.csv
6.2059603,2.803696,6.605804,0.20352992,-0.018385213,0.14235543,3,izquierda,single/left_single.csv
6.325674,2.8300328,6.864386,0.17787358,0.0133797815,0.14724235,3,izquierda,single/left_single.csv
6.5603127,2.8563697,6.7805862,0.14855205,-0.0134982895,0.16434658,3,izquierda,single/left_single.csv
6.7398834,2.8156672,7.046351,0.16382366,-0.13017355,0.16495745,3,izquierda,single/left_single.csv
6.117372,2.5475085,6.986494,0.15588243,-0.17049067,0.12952726,3,izquierda,single/left_single.csv
6.1820173,2.6432793,7.1397276,0.14488685,-0.084358655,0.10264918,3,izquierda,single/left_single.csv
6.8619914,2.928198,7.0152254,0.16443454,-0.10696067,0.20344196,3,izquierda,single/left_single.csv
6.5603127,2.743839,7.309721,0.14244339,-0.066643566,0.22054617,3,izquierda,single/left_single.csv
6.167652,2.6935592,6.9912825,0.124117434,0.023153625,0.17412043,3,izquierda,single/left_single.csv
6.2155375,2.6887705,6.936214,0.16260195,0.08668361,0.13685763,3,izquierda,single/left_single.csv
5.9449844,2.6360965,7.1588817,0.18153878,0.03476006,0.13991198,3,izquierda,single/left_single.csv
6.002447,2.6624336,7.3049326,0.15466069,0.05308602,0.14235543,3,izquierda,single/left_single.csv
6.1987777,2.7414446,7.211556,0.15160637,0.10500957,0.1637357,3,izquierda,single/left_single.csv
6.25624,2.7486274,6.859597,0.24445789,0.05736208,0.18817031,3,izquierda,single/left_single.csv
6.1892004,2.7582045,6.9888883,0.22429933,0.13921802,0.19183551,3,izquierda,single/left_single.csv
6.0479383,2.7055306,7.0966306,0.22246674,0.11722688,0.18572685,3,izquierda,single/left_single.csv
5.97611,2.6528566,7.204373,0.2371275,0.10134438,0.19488983,3,izquierda,single/left_single.csv
6.402291,2.82285,6.821289,0.2688925,0.12822244,0.23765041,3,izquierda,single/left_single.csv
6.4405994,2.7917244,6.814106,0.26278386,0.17586993,0.24070473,3,izquierda,single/left_single.csv
6.3472223,2.8467927,6.8236833,0.22979712,0.20396975,0.21504839,3,izquierda,single/left_single.csv
6.4358106,2.8443985,6.6800265,0.22979712,0.18136773,0.21810272,3,izquierda,single/left_single.csv
6.58665,2.865947,6.7063637,0.22185586,0.15937658,0.22848743,3,izquierda,single/left_single.csv
6.428628,2.8539755,6.938608,0.19131261,0.20458059,0.2272657,3,izquierda,single/left_single.csv
6.349617,2.8396099,7.1157846,0.16138022,0.22657175,0.21565926,3,izquierda,single/left_single.csv
6.5579185,2.8683412,7.0511394,0.1687106,0.22351743,0.22848743,3,izquierda,single/left_single.csv
6.6967864,2.971295,6.8955116,0.22246674,0.25222808,0.26025242,3,izquierda,single/left_single.csv
6.395108,2.925804,7.170853,0.19375607,0.30537337,0.22970915,3,izquierda,single/left_single.csv
6.349617,2.8707354,7.101419,0.17543012,0.2485629,0.18878119,3,izquierda,single/left_single.csv
6.3998966,2.9162266,6.9840994,0.23040798,0.08729448,0.17106609,3,izquierda,single/left_single.csv
6.385531,2.9473522,7.0607166,0.25972953,0.07263371,0.18022907,3,izquierda,single/left_single.csv
6.3998966,2.9593236,7.2426815,0.24079269,0.11539428,0.18572685,3,izquierda,single/left_single.csv
6.4789076,3.0000262,7.185219,0.23285145,0.12700072,0.18389426,3,izquierda,single/left_single.csv
6.4573593,2.9377751,6.941003,0.25301,0.12822244,0.18083994,3,izquierda,single/left_single.csv
6.1724405,2.944958,6.9936767,0.2792772,0.11356168,0.16679004,3,izquierda,single/left_single.csv
6.141315,2.944958,7.0343795,0.2578969,0.12516811,0.17228782,3,izquierda,single/left_single.csv
6.284971,2.9329867,7.075082,0.26461643,0.09523573,0.19366811,3,izquierda,single/left_single.csv
6.5746784,2.9617178,6.8165,0.28660756,0.08668361,0.21688098,3,izquierda,single/left_single.csv
6.466936,2.9641123,6.735095,0.2896619,0.07385544,0.2113832,3,izquierda,single/left_single.csv
6.352011,2.9832664,6.859597,0.25423172,0.104398705,0.1955007,3,izquierda,single/left_single.csv
6.2155375,3.0119977,7.041562,0.23224059,0.09645746,0.18817031,3,izquierda,single/left_single.csv
6.5363703,3.0335462,6.6680555,0.2633947,0.059805542,0.20160936,3,izquierda,single/left_single.csv
6.8069234,3.0335462,6.4932733,0.29943576,0.060416404,0.22115704,3,izquierda,single/left_single.csv
6.304126,3.0215747,6.969734,0.2493448,0.11111822,0.19305724,3,izquierda,single/left_single.csv
6.0766697,2.9904492,7.151699,0.20169732,0.1202812,0.14785321,3,izquierda,single/left_single.csv
6.220326,2.9569294,6.840443,0.25362086,0.026207952,0.15823792,3,izquierda,single/left_single.csv
6.6776323,3.067066,6.761432,0.31898347,-0.043430686,0.20283109,3,izquierda,single/left_single.csv
6.63693,3.1029801,6.9122715,0.30493352,-0.023883,0.2236005,3,izquierda,single/left_single.csv
6.28976,3.083826,6.735095,0.26767078,0.029262278,0.1869486,3,izquierda,single/left_single.csv
6.158075,3.0383348,7.075082,0.25178826,0.046366505,0.14602062,3,izquierda,single/left_single.csv
6.122161,3.093403,7.0319853,0.23529491,0.03659266,0.12830552,3,izquierda,single/left_single.csv
5.849213,2.9808722,6.9936767,0.25606433,0.1184486,0.122196876,3,izquierda,single/left_single.csv
6.0479383,3.0263634,6.893117,0.27622288,0.07935323,0.15090753,3,izquierda,single/left_single.csv
6.4190507,3.1556542,6.7829804,0.27622288,0.08179669,0.20649628,3,izquierda,single/left_single.csv
6.241874,3.0886145,6.811712,0.24079269,0.13127679,0.1814508,3,izquierda,single/left_single.csv
5.837242,2.9952378,6.9457912,0.21024944,0.15693311,0.14846408,3,izquierda,single/left_single.csv
5.8324533,3.0024207,7.151699,0.20169732,0.148381,0.15701619,3,izquierda,single/left_single.csv
6.2251143,3.0910087,7.0104365,0.24079269,0.116616,0.20099849,3,izquierda,single/left_single.csv
6.304126,3.1412885,6.9314256,0.28233156,0.09523573,0.21871358,3,izquierda,single/left_single.csv
6.0048413,3.0957973,6.9673395,0.29332712,0.08057496,0.20344196,3,izquierda,single/left_single.csv
5.913859,3.1580484,7.1540933,0.3006575,0.08240756,0.19794416,3,izquierda,single/left_single.csv
6.4334164,3.2179053,6.9840994,0.32264864,0.07202284,0.22970915,3,izquierda,single/left_single.csv
6.754249,3.2538195,6.3328567,0.3776265,0.059194677,0.26330674,3,izquierda,single/left_single.csv
6.5842557,3.2298768,6.404685,0.37212873,0.0903488,0.24864598,3,izquierda,single/left_single.csv
